fuente,source_record_id,fecha_hora,fecha,hora,aeropuerto_icao,aeropuerto_nombre,ciudad,provincia,fase_vuelo,descripcion,tipo_incidente,categoria_incidente,aeronave_modelo,aeronave_matricula,tipo_aeronave,condicion_meteorologica,condicion_luz,visibilidad_millas,viento_kt,latitud,longitud,lesionados,fatalidades,nivel_riesgo
JST,JST-RAW-113231830-23,2023-08-01T19:30:00,2023-08-01,1930,,,Coronel Olmedo,Cordoba,En vuelo,"Incidente grave | SCF-NP (System/component failure or malfunction (No Powerplant) | Non-Commercial Operations / Relocation / Ferry | Coronel Olmedo, Cordoba",SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,,LV-KFP,,,,,,-31.48777,-64.14194,0,0,Alto
JST,JST-RAW-90996017-23,2023-08-05T20:10:00,2023-08-05,2010,,,General Rodriguez,Buenos Aires,En vuelo,"Accidente | UNK (Unknown o undetermined) | Non-Commercial Operations / Flight Training/Instructional / Dual | General Rodriguez, Buenos Aires",UNK (Unknown o undetermined),Operacion,,LV-NRF,,,,,,-34.666,-59.042,0,0,Bajo
JST,JST-RAW-91187464-23,2023-08-06T17:39:00,2023-08-06,1739,,,Bariloche,Rio Negro,En vuelo,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Commercial Air Transport / Non-Scheduled / Airline (internacional) | Bariloche, Rio Negro",SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,,PP-CGG,,,,,,-41.151,-71.157,0,0,Alto
JST,JST-RAW-91787267-23,2023-08-08T10:25:00,2023-08-08,1025,,,San Fernando,Buenos Aires,Rodaje,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant), LOC-G (Loss of control -ground) | Non-Commercial Operations / Relocation / Positioning | San Fernando, Buenos Aires","SCF-NP (System/component failure or malfunction (No Powerplant), LOC-G (Loss of control -ground)",Tecnico,,LV-WDR,,,,,,-34.455,-58.583,0,0,Alto
JST,JST-RAW-94451761-23,2023-08-14T12:50:00,2023-08-14,1250,,,Piquete Cabado,Salta,En vuelo,"Accidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Non-Commercial Operations / Relocation / Delivery | Piquete Cabado, Salta",SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,,LV-FKN,,,,,,-24.806,-64.18,0,0,Alto
JST,JST-RAW-30773082-25,2023-08-24T20:15:00,2023-08-24,2015,,,El Dorado,Misiones,Ascenso inicial,"Accidente | FUEL (Fuel related) | Non-Commercial Operations / Flight Training/Instructional / Dual | El Dorado, Misiones",FUEL (Fuel related),Tecnico,,LV-CLJ,,,,,,-26.396,-54.574,0,0,Alto
JST,JST-RAW-100035130-23,2023-08-26T16:30:00,2023-08-26,1630,,,SALADILLO,Buenos Aires,Aterrizaje,"Accidente | SCF-NP (System/component failure or malfunction (No Powerplant), RE (Runway Excursion) | Non-Commercial Operations / Pleasure / Local | SALADILLO, Buenos Aires","SCF-NP (System/component failure or malfunction (No Powerplant), RE (Runway Excursion)",Pista,,LV-S135,,,,,,-35.602,-59.817,0,0,Alto
JST,JST-RAW-100899257-23,2023-08-29T15:50:00,2023-08-29,1550,,,Belen de Escobar,Buenos Aires,Aterrizaje,"Accidente | ARC (Abnormal runway contact) | Non-Commercial Operations / Flight Training/Instructional / Other | Belen de Escobar, Buenos Aires",ARC (Abnormal runway contact),Pista,,LV-HVZ,,,,,,-34.298,-58.798,0,0,Alto
JST,JST-RAW-102007501-23,2023-08-30T18:20:00,2023-08-30,1820,,,Villa Gral. Belgrano,Cordoba,Aterrizaje,"Incidente | RE (Runway Excursion) | Non-Commercial Operations / Flight Training/Instructional / Other | Villa Gral. Belgrano, Cordoba",RE (Runway Excursion),Pista,,LV-GJJ,,,,,,-31.964,-64.564,0,0,Alto
JST,JST-RAW-109789817-23,2023-09-16T17:45:00,2023-09-16,1745,,,Ministro Pistarini -Ezeiza (SAEZ),Buenos Aires,En vuelo,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Non-Commercial Operations / Pleasure / Otros | Ministro Pistarini -Ezeiza (SAEZ), Buenos Aires",SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,,LV-JZQ,,,,,,-34.821,-58.535,0,0,Alto
