event_code,mapped_in_catalog,unknown_in_catalog,source_record_id,categoria_incidente,fase_vuelo,nivel_riesgo,mapping_rule_source
SCF-NP,True,False,JST-RAW-72420628-22,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
UNK,True,False,JST-RAW-75889825-22,Operacion,En vuelo,Bajo,tabla_jst_event_code_mapping
MED,True,False,JST-RAW-95708560-24,Operacion,En vuelo,Medio,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-82971366-22,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-83752541-22,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-84997038-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
GCOL,True,False,JST-RAW-84927571-22,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-87179955-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-87179955-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-31587410-24,Operacion,Maniobra a baja altura,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-103748642-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
F-NI,True,False,JST-RAW-94709410-22,Seguridad operacional,En vuelo,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-96387208-22,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
GCOL,True,False,JST-RAW-96407094-22,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-19229436-24,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-101897044-22,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
UNK,True,False,JST-RAW-26650812-24,Operacion,En vuelo,Bajo,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-110785529-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-110785529-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-113211779-22,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-115512320-22,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-110420253-24,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-119495543-22,Operacion,Maniobra a baja altura,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-126759547-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
CTOL,True,False,JST-RAW-126729449-22,Operacion,Despegue,Critico,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-128134522-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-128134522-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
GCOL,True,False,JST-RAW-131057791-22,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-132437620-22,Tecnico,Ascenso inicial,Critico,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-132437620-22,Tecnico,Ascenso inicial,Critico,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-136178585-22,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
GCOL,True,False,JST-RAW-133386874-22,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-196643-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-12284361-23,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-11925282-23,Operacion,Maniobra a baja altura,Critico,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-12246865-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-12246865-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-12810042-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-13695767-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-13695767-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
AMAN,True,False,JST-RAW-24070713-23,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-24070713-23,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-25829777-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
LOC-G,True,False,JST-RAW-25829777-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-27153213-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-22616761-24,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-44726864-25,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-22620434-24,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-37023615-23,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-39839692-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-42044921-23,Operacion,Maniobra a baja altura,Critico,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-45501611-23,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-01477104-25,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-48952747-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-50323535-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-98933552-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-51598653-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-51598653-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-51597322-23,Operacion,Maniobra a baja altura,Alto,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-51844797-23,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
FUEL,True,False,JST-RAW-58462912-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-58462912-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-58147231-23,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-67901159-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-67901159-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-71384627-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-70581035-23,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-74578608-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-75901059-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
GCOL,True,False,JST-RAW-82756806-23,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
GCOL,True,False,JST-RAW-82761122-23,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-113231830-23,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
UNK,True,False,JST-RAW-90996017-23,Operacion,En vuelo,Bajo,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-91187464-23,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
LOC-G,True,False,JST-RAW-91787267-23,Tecnico,Rodaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-91787267-23,Tecnico,Rodaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-94451761-23,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
FUEL,True,False,JST-RAW-30773082-25,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-100035130-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-100035130-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-100899257-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-102007501-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-109789817-23,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
F-POST,True,False,JST-RAW-109799769-23,Seguridad operacional,En tierra,Critico,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-109799769-23,Seguridad operacional,En tierra,Critico,tabla_jst_event_code_mapping
LOC-G,True,False,JST-RAW-112416337-23,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
LOC-G,True,False,JST-RAW-113031542-23,Operacion,Rodaje,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-114756085-23,Pista,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-114756085-23,Pista,Ascenso inicial,Alto,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-115025976-23,Operacion,Maniobra a baja altura,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-118708414-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-119797612-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
FUEL,True,False,JST-RAW-1740669-24,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
FUEL,True,False,JST-RAW-134231883-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-134231883-23,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
LALT,True,False,JST-RAW-151508998-23,Operacion,Maniobra a baja altura,Critico,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-151508998-23,Operacion,Maniobra a baja altura,Critico,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-134235328-23,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-135569176-23,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
